รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010078,TOMATO SEDA,มะเขือเทศสีดา,KG,,,38,,,,N,0,,
'15040011,NOODLE CHAN,ก๋วยเตี๋ยวเส้นจันทร์(เส้นผัดไท)ตรากระต่าย,KG,,,38,,,,N,0,,
'15040013,RICE NOODLE,เส้นจันทร์กระต่าย,KG,,,38,,,,N,0,,
'15040016,NOODLE SMALL,ก๋วยเตี๋ยวเส้นเล็ก,KG,,,38,,,,N,0,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,38,,,,N,0,,
'15120062,YEN TA FOUR SAUCE,ซอสเย็นตาโฟ,BTL,,,38,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,39,,,,N,0,,
'15040014,SAPAM NOODLE YELLOW,หมี่สะปำ,KG,,,39,,,,N,0,,
'12010001,BABY CORN,ข้าวโพดอ่อน,KG,,,40,,,,N,0,,
'12010103,RED CABBAGE,กะหล่ำม่วง,KG,,,40,,,,N,0,,
'12010139,KEELEK FLOWER,ดอกขี้เหล็กต้ม,KG,,,40,,,,N,0,,
'12010138,KANANG,แขนง,KG,,,41,,,,N,0,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,41.5,,,,N,0,,
'12000023,PANDANUS LEAVES,เตยหอม,KG,,,42,,,,N,0,,
'12010027,FRENCH BEAN,ถั่วแขก,KG,,,42,,,,N,0,,
'12010071,SWEET BASIL,โหระพา,KG,,,42,,,,N,0,,
'15010054,TAIPLA  BOTTLE LARGE,ไตปลาขวดใหญ่,BTL,,,42,,,,N,0,,
'15060015,SHRIMP PASTE CURRY,กะปิแกง,KG,,,42,,,,N,0,,
'15060021,กะปิแกงอย่างดี,กะปิแกงอย่างดี,KG,,,42,,,,N,0,,
'12010030,GALANGA WHOLE YOUNG(323648),ข่าอ่อน(323648),KG,,,43,,,,N,0,,
'12010131,GALANGA WHOLE STRONG,ข่าแก่,KG,,,43,,,,N,0,,
'15010106,CORN SUGAR SURUB,แบะแซะใส,KG,,,44,,,,N,0,,
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,44,,,,N,0,,
'12010046,MANGLUK LEAVE,ใบแมงลัก,KG,,,45,,,,N,0,,
'15140016,WHITH GLUTINOUS RICE RAITIP 1 KG. (223239),ข้าวเหนียว ไร่ทิพย์ 1 กก.(223239),KG,,,45,,,,N,0,,
'15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),BAG,,,46,,,,N,0,,
'15050006,แป้งมันสำปะหลังตราเจดีย์ 400ก.,แป้งมันสำปะหลัง ตราเจดีย์ 400ก.,BAG,,,46,,,,N,0,,
'12010035,KAFFIR LIME LEAVE,ใบมะกรูด,KG,,,47,,,,N,0,,
'12010017,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,,,48,,,,N,0,,
'12010037,KAMIN FRESH,ขมิ้นสด,KG,,,49,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,49,,,,N,0,,
'15010069,PICKLED,ผักกาดดอง,KG,,,49,,,,N,0,,
'15010160,SLICED PICKLED CABBAGE(164074),ผักกาดดอง(หั่น)/(164074),KG,,,49,,,,N,0,,
'15130071,ปูนแดง,ปูนแดง,KG,,,49,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,50,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,50,,,,N,0,,
'12010108,CELERY THAI,คื่นช่ายไทย,KG,,,50,,,,N,0,,
'12010051,MUSHROOM JELLY,เห็ดหูหนูสด,KG,,,51,,,,N,0,,
'12010126,CHILI BRID GREEN,พริกขี้หนูเขียว(ไม่เด็ด),KG,,,51,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,53,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,53,,,,N,0,,
'15010065,SAKU DRY SEED,สาคูเม็ดเล็กตรามังกร 7 ดาว(สีขาว),KG,,,53,,,,N,0,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,53,,,,N,0,,
'16020004,COCONUT JELATINE (PACK),วุ้นมะพร้าว(ใส่ในของหวาน),PACK,,,54,,,,N,0,,
'12010043,LOCAL PEPPER GREEN,พริกหยวก,KG,,,55,,,,N,0,,
'15040005,NOODLE BLOCK FF (1x21)/(199236),บะหมี่ชนิดก้อน (1x21ก้อน)/(199236),PACK,,,55,,,,N,0,,
'15040012,NOODLE SMALL YELLOW,บะหมี่เหลือง,KG,,,55,,,,N,0,,
'16020001,รวมมิตรดิบ,รวมมิตรดิบ,KG,,,55,,,,N,0,,
'12010094,CAULIFLOWER,ดอกกะหล่ำใน,KG,,,57,,,,N,0,,
'12010105,SHALLOT (CUT),หอมแดงพม่า(แกะ),KG,,,57,,,,N,0,,
'15010028,GREEN BEAN,ถั่วเขียว,KG,,,57,,,,N,0,,
'15040018,NOODLE SMALL GREEN,บะหมี่หยก,KG,,,57,,,,N,0,,
'16020003,KANOM KLONG KLEAK,ขนมคลองแคลงดิบ,KG,,,57,,,,N,0,,
'12010121,BAMBOO SHOOTS PICKLED KG.,หน่อไม้ดอง,KG,,,58,,,,N,0,,
'15050018,FLOUR PANG TAO YAI MOM,แป้งท้าวยายม่อม,KG,,,58,,,,N,0,,
'12010020,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,,,59,,,,N,0,,
'12010025,DILL LEAVES,ผักชีลาว,KG,,,60,,,,N,0,,
'16020011,LOD CHONG SINGAPORE,ลอดช่องสิงค์โปร์,KG,,,60,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,61,,,,N,0,,
'12010013,CHILI BRID RED,พริกขี้หนูแดง,KG,,,61,,,,N,0,,
'12010044,LONG PARSLES,ชีใบเลื่อย,KG,,,61,,,,N,0,,
'12010058,ONION SPRING,ต้นหอม,KG,,,61,,,,N,0,,
'12010067,RHY ZOME,กระชาย,KG,,,64,,,,N,0,,
'12010031,GINGER OLD,ขิงแก่,KG,,,65,,,,N,0,,
'15010006,BEAN BLACK ,ถั่วดำ,KG,,,65,,,,N,0,,
'12010032,GINGER SLICED,ขิงฝอย,KG,,,66,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,66,,,,N,0,,
'12010087,กระเทียมจีนหัว(829336),กระเทียมจีนหัว(829336),KG,,,66,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,66,,,,N,0,,
'12010132,GARLIC LARGE,กระเทียมใหญ่,KG,,,66,,,,N,0,,
'12010018,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,,,67,,,,N,0,,
'12010050,MUSHROOM ERYNJI 1KG.,เห็ดเออรินจิ 1 กก.,KG,,,67,,,,N,0,,
'15060005,KATI PASTE CURRY,เครื่องแกงกะทิ,KG,,,68,,,,N,0,,
'15060012,PED PASTE CURRY,เครื่องแกงผัดเผ็ด,KG,,,68,,,,N,0,,
'15060014,RED PASTE  CURRY,เครื่องแกงแดง,KG,,,68,,,,N,0,,
'15060016,SOUR CURRY,เครื่องแกงส้ม,KG,,,68,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,69,,,,N,0,,
'12010134,GREEN COS LETTUCE HYDROPONIC 500G.(193982),สลัดกรีนคอส(ไฮโดรโปนิค)500ก.(193982),PACK,,,69,,,,N,0,,
'12010153,SHOWN LEAVES CUT,โชนหั่น,KG,,,69,,,,N,0,,
'12010161,โรเมนคอสไทย(193982)500g,โรเมนคอสไทย(193982) 500ก.,PACK,,,69,,,,N,0,,
'15010150,PICKLED LETTUCE SWEET,ผักกาดดองหวาน,KG,,,69,,,,N,0,,
'15010172,YELLOW BEAN HALF RAI THIP 1KG.(223313),ถั่วเหลืองซีกไร่ทิพย์ 1 กก.(223313),BAG,,,69,,,,N,0,,
'12010113,BAMBOO YELLOW FLAK,หน่อไม้เหลืองฝอย,KG,,,70,,,,N,0,,
'15060004,GROUND SHRIMP PASTE,กะปิน้ำพริก,KG,,,70,,,,N,0,,
'15060022,กะปิน้ำพริกอย่างดี,กะปิน้ำพริกอย่างดี,KG,,,70,,,,N,0,,
'12010095,CHILI BRID GREEN (CUT),พริกขี้หนูเขียว(เด็ด),KG,,,72,,,,N,0,,
'12010096,EGGPLANT PURPLE,มะเขือม่วงกลม,KG,,,73,,,,N,0,,
'15010115,GREEN BEAN HALF,ถั่วเขียวซีก,KG,,,73,,,,N,0,,
'12000007,COCONUT MILK FRESH,น้ำกะทิสด,KG,,,74,,,,N,0,,
'15010162,TEK KA KEE 200 G.,เต็กกากี่ 200 ก.,BAG,,,74,,,,N,0,,
'12010079,TURNIP DRIED FLAKE,ไชโป๊วสับ,KG,,,76,,,,N,0,,
'12010112,BAMBOO PICKLED YELLOW,หน่อไม้เหลืองยาว(ต้ม),KG,,,76,,,,N,0,,
'12010162,ใบชะมวง,ใบชะมวง,KG,,,76,,,,N,0,,
'15130043,FENUGREEK SEEDS 1KG.(165883),ลูกซัด 1 กก.(165883),KG,,,76,,,,N,0,,
'16020012,LOOK CHID,ลูกชิด,KG,,,76,,,,N,0,,
'12010080,TURNIP FLAKE,ไชโป๊วหวานฝอย,KG,,,79,,,,N,0,,
'15040002,KUAY JAB NOODLE,เส้นก๊วยจั๊บ,KG,,,79,,,,N,0,,
'12000011,GRATED COCONUT,มะพร้าวขูดขาว,KG,,,81,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,81,,,,N,0,,
'12010128,CHINESE SALTED RADISH,หัวไชโป๊วเค็ม,KG,,,81,,,,N,0,,
'15010079,ADLAY SEED 1KG.,เมล็ดเดือย 1 กก.,KG,,,81,,,,N,0,,
'15060003,GREEN PASTE  CURRY,เครื่องแกงเขียวหวาน,KG,,,81,,,,N,0,,
'12010004,BEANS WING,ถั่วพลู,KG,,,82,,,,N,0,,
'12010052,MUSHROOM OYSTER,เห็ดนางฟ้า,KG,,,82,,,,N,0,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,82,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,83,,,,N,0,,
'15010042,PEA NUT BEAN ROW,ถั่วลิสงดิบเม็ด,KG,,,83,,,,N,0,,
'16020007,KANOM BAULOY PHUKET,ขนมบัวลอยดิบ-ภูเก็ต,KG,,,83,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,86,,,,N,0,,
'12010107,TAM LUNG,ตำลึง(เด็ด),KG,,,86,,,,N,0,,
'12010155,TAM LUAN,ตำลึง,KG,,,86,,,,N,0,,
'15010161,TAMARIND,มะขามเปียกแกะเม็ด,KG,,,88,,,,N,0,,
'15060017,TAIPLA PASTE  CURRY,เครื่องแกงไตปลา,KG,,,88,,,,N,0,,
'12010014,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,,,89,,,,N,0,,
'12010151,RED RADISH,เรดิช,KG,,,90,,,,N,0,,
'12010146,ONION SPRING FLOWER,ดอกหอม,KG,,,91,,,,N,0,,
'15010072,FRIED GARLIC 0.5KG,กระเทียมเจียว 0.5 กก.,BAG,,,91,,,,N,0,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,92,,,,N,0,,
'15010101,CHINESE BEAN,ถั่วจีนปอกเปลือก,KG,,,92,,,,N,0,,
'15060002,CHILI PASTE CURRY,เครื่องแกงพริก,KG,,,92,,,,N,0,,
'15060026,KUA KLING CURRY (851293),เครื่องแกงคั่วกลิ้ง (851293),KG,,,93,,,,N,0,,
'12010110,EGG PLANT SMALL ( SPLIT ),มะเขือพวง(เด็ด),KG,,,96,,,,N,0,,
'12010063,RA LEAF,ใบรา,KG,,,97,,,,N,0,,
'15060006,KUENGKANG KAWHMON,เครื่องข้าวหมกไก่,KG,,,97,,,,N,0,,
'15060019,YELLOW PASTE  CURRY,เครื่องแกงกะหรี่,KG,,,98,,,,N,0,,
'15060010,PANANG CURRY,เครื่องแกงแพนง,KG,,,99,,,,N,0,,
'12010012,CHAPOO LEAVES,ใบชะพลู,KG,,,102,,,,N,0,,
'12010163,ตะไคร้ 1*100/มัด,ตะไคร้ 1*100/มัด,BUNDLE,,,103,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,104,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,106,,,,N,0,,
'12010090,SHALLOT,หอมแดงไทย,KG,,,112,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,112,,,,N,0,,
'12010168,หอมแดงไทย แบบมัดจุก,หอมแดงไทยแบบมัดจุก,KG,,,112,,,,N,0,,
'15010025,FRIED SHALLOT,หอมแดงเจียว,KG,,,113,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,115,,,,N,0,,
'15040015,PHUKET NOODLE,หมี่ซั่วภูเก็ต,PACK,,,115,,,,N,0,,
'15010145,PEANUTS ROAST,ถั่วลิสงคั่ว,KG,,,116,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,117,,,,N,0,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,118,,,,N,0,,
'15010073,SESAMI BLACK SEED RAITIP,เม็ดงาดำไร่ทิพย์,KG,,,120,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,123,,,,N,0,,
'12010083,YOD MUI,ยอดหมุย,KG,,,123,,,,N,0,,
'12000038,แห้วปอกเปลือก,แห้วปอกเปลือก,KG,,,124,,,,N,0,,
'12000070,แห้วสดปอกเปลือก 1 กก. (265577),แห้วสดปอกเปลือก 1 กก.(265577),KG,,,124,,,,N,0,,
'15010074,SESAMI WHITE SEED RAITIP,เม็ดงาขาวไร่ทิพย์,KG,,,125,,,,N,0,,
'15060018,TORD MAN PLA,ทอดมันปลา,KG,,,125,,,,N,0,,
'12010009,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,,,126,,,,N,0,,
'15010066,SAUSAGE CHINESE,กุนเชียงไก่ธรรมดา,KG,,,127,,,,N,0,,
'15060009,MUSMAN CURRY,เครื่องแกงมัสมั่น,KG,,,127,,,,N,0,,
'15130020,PEPER WHITE POWDER 1KG.(166208),พริกไทยขาวป่น 1 กก.(166208),KG,,,128,,,,N,0,,
'12010048,MINT LEAF,สาระแหน่,KG,,,130,,,,N,0,,
'16020014,STICKY RICE MOON,ข้าวเหนียวมูนขาว,KG,,,133,,,,N,0,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,134,,,,N,0,,
'12010015,CHILI DRY LARGE,พริกแห้งใหญ่,KG,,,135,,,,N,0,,
'12010075,THAI PARSLEY,ผักชีไทย,KG,,,135,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,138,,,,N,0,,
'15010111,DRY SMALL FISH,ปลาฉิ้งฉ้าง,KG,,,138,,,,N,0,,
'12010086,กระเทียมไทยกลีบ,กระเทียมไทยกลีบ,KG,,,139,,,,N,0,,
'12010106,SNOW PEA,ถั่วลันเตา,KG,,,139,,,,N,0,,
'12010158,WHOLE THAI GARLIC,กระเทียมไทย,KG,,,139,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,140,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,140,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,142,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,142,,,,N,0,,
'11030004,CRAB PICKLES,ปูเค็ม,KG,,,146,,,,N,0,,
'12010055,MUSHROOM STRAW (324038),เห็ดฟาง(324038),KG,,,149,,,,N,0,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,149,,,,N,0,,
'15020001,DRY JUJUB,พุทราแห้ง,KG,,,149,,,,N,0,,
'12010149,PICKLED GINGE,ขิงดอง,BTL,,,152,,,,N,0,,
'15130037,CINAMOM STICK  500G.(166073),อบเชย 500ก.(166073),BAG,,,153,,,,N,0,,
'12010144,MUSHROOM FRESH SHITAKE 1KG.,เห็ดหอมสด 1 กก.,KG,,,154,,,,N,0,,
'15130059,PHOLO POWDER 540G.,ผงพะโล้ 540G.,BOX,,,155,,,,N,0,,
'15010061,ข้าวตังดิบ,ข้าวตังดิบ,KG,,,158,,,,N,0,,
'15020004,BALE FRUIT DRY,มะตูมแห้ง,KG,,,168,,,,N,0,,
'12010059,PAK MEANG,ผักเหมียง,KG,,,169,,,,N,0,,
'15010112,DRY SMALL FISH (CUT),ปลาฉิ้งฉ้าง(แกะ),KG,,,173,,,,N,0,,
'15010181,ปลาฉิ้งฉ้าง แกะ,ปลาฉิ้งฉ้างแกะ,KG,,,173,,,,N,0,,
'15130005,CHILI POWDER RAI THIP 1KG.,พริกป่นไร่ทิพย์ 1 กก.,KG,,,174,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,179,,,,N,0,,
'12010137,KAI LAN (151020),ยอดคะน้าฮ่องกง (151020),KG,,,179,,,,N,0,,
'12010147,PAK GROOD ( EDIBIE FERN ),ผักกูด,BUNDLE,,,180,,,,N,0,,
'12010069,SMALL LOTUS LEAF,ใบบัวบก,KG,,,181,,,,N,0,,
'15050015,FLOUR GOGI POWDER 500G. (1x3)/(101079),แป้งโกกิ 500ก.(1x3)/(101079),BAG,,,190,,,,N,0,,
'12010111,TURMERIC WHITE,ขมิ้นขาว,KG,,,195,,,,N,0,,
'12010016,CHILI DRY SMALL,พริกแห้งเล็ก,KG,,,207,,,,N,0,,
'12010127,CHILI DRY SMALL (CUT) 0.5KG.,พริกแห้งเล็ก(เด็ด) 0.5 กก.,KG,,,207,,,,N,0,,
'16020016,TUB TIM GOB,ทับทิมกรอบ,KG,,,207,,,,N,0,,
'15010125,LIME LOCAL,ส้มแขกแห้ง,KG,,,211,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,235,,,,N,0,,
'15010158,SALTED FISH BIG,ปลาเสียดเค็มใหญ่,KG,,,242,,,,N,0,,
'15130052,KAMIN-POWDER,ขมิ้นผง,KG,,,250,,,,N,0,,
'15010070,BLACK PEPPER 1 kg.,พริกไทยเม็ดดำ1 กก.,KG,,,266,,,,N,0,,
'15020008,DRY LONGAN,ลำไยอบแห้ง,KG,,,267,,,,N,0,,
'12010152,ROCKET,ร็อกเก็ต,KG,,,283,,,,N,0,,
'15010014,CASHEWNUT HALF,เม็ดมะม่วงหิมพานต์อบซีก,BAG,,,299,,,,N,0,,
'15010071,CINAMON STICK(MAI HOOM),อบเชย(ไม้หอม),KG,,,306,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,318,,,,N,0,,
'15040006,NOODLE GLASS 400G.(1x12),เส้นหมี่หุ้นช้างสามเศียร 400ก.(1x12),BAG,,,332,,,,N,0,,
'15010036,MUSHROOM SHITAKE LARGE,เห็ดหอมแห้งใหญ่,KG,,,358,,,,N,0,,
'12010056,MUSHROOM WHITE,เห็ดหูหนูขาว,KG,,,368,,,,N,0,,
'15010023,DRY SHRIMP SMALL,กุ้งแห้งเล็ก,KG,,,494,,,,N,0,,
'15010173,เก๊กฮวยแห้ง,เก๊กฮวยแห้ง,KG,,,504,,,,N,0,,
'15130007,CHINESE ANLE ( POY KAK ),โป๊ยกั๊ก,KG,,,550,,,,N,0,,
'15010022,DRY SHRIMP MID,กุ้งแห้งกลาง,KG,,,595,,,,N,0,,
'15010110,DRY SHRIMP LARGE,กุ้งแห้งใหญ่,KG,,,616,,,,N,0,,
'15010062,ดอกอัญชันแห้ง,ดอกอัญชันแห้ง,KG,,,649,,,,N,0,,
'15130038,CLOVES ( KAN PHU ),กานพลู,KG,,,690,,,,N,0,,
'15050016,FLOUR KITE ALL PURPOSE 22.5KG. (184692),แป้งสาลี ตราว่าว 22.5 กก.(184692),SACK,,,768,,,,N,0,,
'15010139,MAW FISH DRY BIG,กระเพาะปลาแห้งหลอดใหญ่,KG,,,771,,,,N,0,,
'15010033,KUNG-SIAB,กุ้งเสียบใหญ่,KG,,,830,,,,N,0,,
'15010140,MAW FISH DRY SMALL,กระเพาะปลาแห้งหลอดเล็ก,KG,,,840,,,,N,0,,
