SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,
'14000019,MILK SOY LOW SUGAR TOFU SAN 830ML.(202231),น้ำนมถั่วเหลืองรสหวานน้อยโทฟุซัง 830มล.(202231),BTL,,,55.75,,,,I,7,,,,,,
'15130074,ผงปรุงรสไก่ 400ก.ตรารสดี(106250),ผงปรุงรสไก่ 400ก.ตรารสดี(106250),BAG,,,64.00,,,,I,7,,,,,,
'15080022,SNACK-CAKE PANDAN FERSHAY RICH 15 G.(1x24)(859711),ขนมเค้กกลิ่นใบเตย เฟอร์เชย์ 15 ก.(1x24)/(859711),PACK,,,57.75,,,,I,7,,,,,,
'15080023,SNACK-CAKE STRAWBERRY FERSHAY RICH 15 G.(1x24)(862180),ขนมเค้กกลิ่นสตรอเบอร์รี เฟอร์เชย์ 15ก.(1x24)/(862180),PACK,,,57.75,,,,I,7,,,,,,
'15010093,BLACK DAL ALPINE 500G.(106371),ถั่วดำอินเดียอัลไพน์ 500ก.(106371),BAG,,,57.75,,,,N,0,,,,,,
15010229,ถั่วลิสงดิบมีเปลือก 500ก.ตราเอโร่ (830330),ถั่วลิสงดิบมีเปลือก 500ก.ตราเอโร่ (830330),BAG,,,57.75,,,,N,0,,,,,,
'15090024,SUGAR BROWN BAKERY MITRPHOL 1KG.(827160),น้ำตาลทรายแดงสำหรับเบเกอรี มิตรผล 1 ก. (827160),KG,,,57.75,,,,I,7,,,,,,
'15010215,ปลาช่อนทะเลแห้ง(ปลาไล้กอแห้ง) 110ก.ตราธนา(220082),ปลาช่อนทะเลแห้ง(ปลาไล้กอแห้ง) 110ก.ตราธนา(220082),Pack,,,57.75,,,,I,7,,,,,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,72.50,,,,N,0,,,,,,
15010235,ถั่วขาว 500ก.(847170),ถั่วขาว 500ก.(847170),Pack,,,57.75,,,,N,0,,,,,,
'15080008,SNACK PEANUT SALTED TONG GARDEN 18/20 G.(1x12)(213330),ถั่วลิสงอบเกลือ ทองการ์เด้น 18/20ก.(1x12)/(213330),PACK,,,58.75,,,,I,7,,,,,,
'20010007,WATER ARO 350 ML.1x18/(200553),น้ำดื่ม เอโร่ 350มล.(1x18)/(200553),PACK,,,59.75,,,,I,7,,,,,,
'15060029,MEAT MASALA MDH 100 G.(102561),MASALA MEAT MASAL MDH 100G. (102561),BOX,,,65.00,,,,I,7,,,,,,
'15050008,แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),BAG,,,61.00,,,,I,7,,,,,,
'14040004,PLAIN YOGURT DUTCHIE 135G.(1x4)/(175058),โยเกิร์ตรสธรรมชาติดัชชี่ 135ก.(1x4)/(175058),PACK,,,61.00,,,,I,7,,,,,,
'15060001,MASALA POWDER KITCHEN KING MDH 100G.(157074),มาซาลาผง-ไก่เอ็มดีเอช 100ก.(157074),BAG,,,65.00,,,,I,7,,,,,,
'16010043,"FROZEN ROLL PASTRY SPRING HOME 5"" (1x50)/(37414)","แผ่นปอเปี๊ยะแช่แข็ง สปริงโฮม 5""(1x50)/(37414)",BAG,,,62.00,,,,I,7,,,,,,
'15080021,SNACK-CAKE PANDAN ELLSE 15 G. (1x24) (126821),ขนมเค้กกลิ่นใบเตย เอลเซ่ 15ก.(1x24)/(126821),PACK,,,62.00,,,,I,7,,,,,,
'15080020,SNACK-CAKE MILK TEA ELLSE 15 G. (1x24) (840694),ขนมเค้กกลิ่นชานม เอลเซ่ 15 ก.(1x24)/(840694),PACK,,,62.00,,,,I,7,,,,,,
'15080017,CAKE RASPBERRY ELLSE 15G.(1x24)/(161410),ขนมเค้กกลิ่นราสเบอรี่ เอลเซ่ 15ก.(1x24)/(161410),PACK,,,62.00,,,,I,7,,,,,,
'15010021,CHICK PEA  500G.(862283),ถั่วลูกไก่ขาว 500ก.(862283),BAG,,,62.00,,,,N,0,,,,,,
'12000051,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),KG,,,72.50,,,,N,0,,,,,,
'15060007,MASALA BOMBAY BIRYANI MDH 100G.(156882),มาซาลาผง-BOMBAY BIRYANI MDH 100G.(156882),BOX,,,66.25,,,,I,7,,,,,,
'15130013,MASALA KITCHEN KING MDH 100G.(159450),มาซาลาผง-KITCHEN KING MDH 100G.(159450),BOX,,,66.25,,,,I,7,,,,,,
'15080096,ขนมแครกเกอร์รสดั้งเดิม 300ก.ตราริทซ์(120313),ขนมแครกเกอร์รสดั้งเดิม 300ก.ตราริทซ์(120313),Box,,,63.00,,,,I,7,,,,,,
'14000004,MILK PLAIN FLAVOURED OHAYO SOY 1L.(143286),นมถั่วเหลืองรสจืดโอฮาโย 1ลิตร(143286),BTL,,,63.00,,,,I,7,,,,,,
'15060023,MASALA CHUNKY CHAT MDH 100G.(156959),มาซาลาผง-CHUNKY CHAT MDH 100G.(156959),BOX,,,66.25,,,,I,7,,,,,,
'15010144,PEA DAL CHICK KABULI ALPINE 500G.(106379),ถั่วลูกไก่อินเดียอัพไพน์ 500ก.(106379),BAG,,,75.50,,,,N,0,,,,,,
'15010213,สาคูเม็ดเล็กสีขาว 500ก.ตราปลาไทย1*2/แพ็ค(845342),สาคูเม็ดเล็กสีขาว 500ก.ตราปลาไทย1*2/แพ็ค(845342),Pack,,,66.25,,,,I,7,,,,,,
'12000064,STRABERRY FRESH 250G.(169955),สตรอเบอร์รีสดนำเข้า 250ก.(169955),PACK,,,240.50,,,,N,0,,,,,,
'15010041,PAPAD LIJJAT 200G.(157371),แผ่นแป้งปาปาดัมลิจัท 200ก.(157371),BAG,,,68.25,,,,I,7,,,,,,
'17020005,FROZEN BROILER CHICKEN (0.5-0.6 G)/WHOLE.(837307),ไก่กระทง แช่แข็ง (0.5-0.6 กก.)/ตัว.(837307),KG,,,68.25,,,,N,0,,,,,,
12010178,เห็ดแชมปิญองขาว 250ก.(162252),เห็ดแชมปิญองขาว 250ก.(162252),Pack,,,68.25,,,,N,0,,,,,,
'15060028,MDH GARAM MASALA 100G.(159507),MASALA GARAM MDH 100G.(159507),BOX,,,75.50,,,,I,7,,,,,,
'15010064,เมล็ดยี่หร่า 300ก.(166082),เมล็ดยี่หร่า 300ก.(166082),BAG,,,70.25,,,,N,0,,,,,,
'15130034,BAY LEAVES  HAND BRAND No.1 (50G.)/(106729),ใบเบย์ ตรามือที่ 1 (50ก.)/(106729),BAG,,,70.25,,,,N,0,,,,,,
'15130067,ใบเบย์ลีฟ 50ก.ตรามือ(106729),ใบเบย์ลีฟ 50ก.ตรามือ(106729),BTL,,,70.25,,,,N,0,,,,,,
'15060025,GARAM MASALA MDH 100G.(159507),มาซาลาผง-การัมเอ็มดีเฮช 100ก.(159507),BOX,,,75.50,,,,I,7,,,,,,
'15010056,TUR DAL ALPINE 500G. (106334),ถั่วเหลืองผ่าซีกอัลไพน์ 500ก.(106334),BAG,,,71.50,,,,N,0,,,,,,
'12000044,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,70.25,,,,N,0,,,,,,
'15130062,ROSEMARY El AVION 100G.(184444),ใบโรสแมรี่ เอลเอวิออน 100ก.(184444),BAG,,,72.50,,,,N,0,,,,,,
'15130068,ขิงผง 100ก.(895407),ขิงผง 100ก.(895407),BAG,,,72.50,,,,N,0,,,,,,
'12010154,SUNFLOWER SPROUTS 500 G. (208299),ต้นอ่อนทานตะวัน 500ก.(208299),KG,,,72.50,,,,N,0,,,,,,
'17060003,FROZEN MIXED VEGETABLE DX 103(125186),ผักรวมแช่แข็ง DX103(125186),KG,,,72.50,,,,N,0,,,,,,
'15050001,FLOUR CORN KNORR 700G.(15002),แป้งข้าวโพด คนอร์ 700ก.(15002),BAG,,,73.50,,,,I,7,,,,,,
15120063,กะทิอบควันเทียน อร่อยดี 1 ล. (860117),กะทิอบควันเทียน อร่อยดี 1ล.(860117),BOX,,,73.50,,,,I,7,,,,,,
'15000020,GREEN TEA NUMBER ONE 200G.(155848),ชาเขียวนมสีเขียวตรามือ 200ก.(155848),BAG,,,73.50,,,,I,7,,,,,,
'15000028,TEA POWDER LOCAL 400 G. (155655),ชาตรามือฉลากแดง 400ก.(155655),BAG,,,73.50,,,,I,7,,,,,,
'15030006,PASTA-FUSILLI LA MOLISANA 28 500 G. (178174),พาสต้า-ฟูซิลี่ลาโมลิซาน่า#28 500ก.(178174),BAG,,,73.50,,,,I,7,,,,,,
'15030002,PASTA-SPAGHETTI AGNESI NO.02 500G.(142242),พาสต้า-เส้นสปาเก็ตตี้ #2 แอคเนซี่ 500ก.(142242),BAG,,,67.25,,,,I,7,,,,,,
'15130054,MDH DEGGI MIRCH 100G.(102558),DEGGI MIRCH MDH  100G.(102558),BOX,,,80.75,,,,I,7,,,,,,
'15010042,PEA NUT BEAN ROW 1KG.(235287),ถั่วลิสงดิบเม็ด 1 กก.(235287),KG,,,75.50,,,,N,0,,,,,,
'15130030,DEGGI MIRCH  MDH 100G.(102558),พริกบดอินเดีย เอ็มดีเอช 100ก.(102558),BOX,,,80.75,,,,I,7,,,,,,
'26010084,JUICE CONCENTRATED-PASSION SQUASH DING FONG 760 ML.(210515),น้ำผลไม้เข้มข้น-เสาวรสสควอช ตราติ่งฟง 760 มล.(210515),Btl,,,76.75,,,,I,7,,,,,,
'26010083,JUICE CONCENTRATED-MANGO SQUASH DING FONG 760 ML.,น้ำผลไม้เข้มข้น-มะม่วงสควอช ตราติ่งฟง 760 มล.(823948),Btl,,,76.75,,,,I,7,,,,,,
'26010070,JUICE CONCENTRATED-LYCHEES SQUASH DING FONG 760 ML.,น้ำผลไม้เข้มข้น-ลิ้นจี่สควอช ตราติ่งฟง 760 มล.(210416),Btl,,,76.75,,,,I,7,,,,,,
'26010085,JUICE CONCENTRATED-PINEAPPLE SQUASH DING FONG 760 ML.(210516),น้ำผลไม้เข้มข้น-สับปะรดสควอช ตราติ่งฟง 760 มล.(210516),Btl,,,76.75,,,,I,7,,,,,,
'15040001,BEAN VERMICHILI 500G. (742222),วุ้นเส้นตราต้นไผ่ 500ก.(742222),BAG,,,76.75,,,,I,7,,,,,,
26010094,JUICE CONCENTRATE-STRAWBERRY SQUASH DING FONG 760ML.(210439),น้ำผลไม้เข้มข้น-สตรอเบอรี่สควอชติ่งฟง 760มล.(210439),Btl,,,76.75,,,,I,7,,,,,,
'14060010,ไข่นกกระทาต้มสุก 1*50/แพ็ค ตราเอโร่(823268),ไข่นกกระทาต้มสุก 1*50/แพ็ค ตราเอโร่(823268),Pack,,,78.75,,,,I,7,,,,,,
'15070018,CEREAL OATS CEREAL ARO 1 KG. (229666),ซีเรียล-ข้าวโอ๊ตเอโร่ 1 กก.(229666),KG,,,78.75,,,,I,7,,,,,,
'17060002,FROZEN GREEN PEAS 1KG.(134972),ถั่วลันเตาแช่แข็ง 1 กก.(134972),KG,,,78.75,,,,N,0,,,,,,
'17080026,หอยลายทั้งตัวแช่แข็ง 140-160 ตัว/กก.(821388),หอยลายทั้งตัวแช่แข็ง 140-160 ตัว 1 กก. (821388),KG,,,78.75,,,,N,0,,,,,,
'15030001,PASTA-PENNE RIGATE AGNESI NO.19 500G.(142246),พาสต้า-เพนเน่ริกาเต้แอคเนซี่ NO.19 500ก.(142246),BAG,,,67.25,,,,I,7,,,,,,
'15030004,PASTA-CHIFFERINI AGNESI 500G.(142247),พาสต้า-ชิฟเฟอรินี #38 แอคเนซี่ 500ก.(142247),BAG,,,67.25,,,,I,7,,,,,,
'15030003,PASTA-CHIFFERI RIGATI AGNESI 500G.(756093),พาสต้า-ซิฟฟารีรีกาติแอคเนซี 500ก.(756093),BAG,,,67.25,,,,I,7,,,,,,
'15030005,PASTA-FARFALE AGNESI NO.61 500G.(756054),พาสต้า-ฟาร์ฟาเลย์ #61 /500ก.ยี่ห้อแอคนีซี(756054),BAG,,,67.25,,,,I,7,,,,,,
15010238,PITTED GREEN OLIVES 333G.CRESPO(142431),มะกอกเขียวไม่มีเมล็ดในน้ำเกลือ 333ก.ตราคริสโป(142431),Btl,,,79.75,,,,I,7,,,,,,
26010075,TOMATO JUICE DOI KHAM 1L.(212782),น้ำมะเขือเทศ ตราดอยคำ 1 ลิตร(212782),Box,,,79.75,,,,I,7,,,,,,
'14000025,MILK PLAIN LACTOSE FREE MAGNOLIA 946 ML.(846008),นมรสจืดฟรีแลคโตส ยี่ห้อแมกโนเลีย 946มล.(846008),Box,,,80.25,,,,I,7,,,,,,
'14010018,MARGARINE SAMSON 1KG.(149505),มาการีน-เเซมซั่น 1 กก.(149505),BAG,,,80.75,,,,I,7,,,,,,
'15130040,CUMIN POWDER 200G. (174122),ยี่หร่าป่น 200 ก.(174122),BAG,,,80.75,,,,N,0,,,,,,
'15130018,PEACOCK KASOORI METHI MDH 100G.(106240),ใบเมทิใบลูกซัดอบแห้ง ยี่ห้อเอ็มดีเอช 100ก.(106240),PACK,,,89.25,,,,N,0,,,,,,
'17060001,SPINACH BALL  1KG. (110002),ผักโขมกลมแช่แข็ง 1 กก.(110002),KG,,,83.00,,,,N,0,,,,,,
'15030013,PASTA-ELICHE TRICOLOR AGNESI NO.656 500G./BAG(609453),พาสต้า-เอลิเกไตรคัลเลอร์#656 ยี่ห้อแอคนีซี 500ก./ถุง(609453),BAG,,,67.25,,,,I,7,,,,,,
'12000020,MANGO NAM DOK MAI YELLOE 1KG.(1x3)/(828271),มะม่วงน้ำดอกไม้สุกกล่อง 1 กก.(1x3)/(828271),KG,,,93.50,,,,N,0,,,,,,
'14010004,MARGARINE ZEST GOLD 1 KG.(830402),มาการีนเซสท์โกลด์ 1 กก.(830402),BAG,,,83.00,,,,I,7,,,,,,
'15050025,FLOUR WHOLE WHEAT IMPERIAL 1KG.(156559),แป้งสาลีโฮลวีทแบบหยาบ อิมพิเรียล 1 กก.(156559),BAG,,,84.00,,,,I,7,,,,,,
'15120032,BLACK SOYA SAUCE NO.5 940CC.(1x3)/(147395),ซีอิ๋วดำ#5เด็กสมบูรณ์ 940มล.(1x3)/(147395),PACK,,,84.00,,,,I,7,,,,,,
'15010218,ถั่วแดงอะซึกิญี่ปุ่นกวน 500ก.ตราอะซึกิ(237005),ถั่วแดงอะซึกิญี่ปุ่นกวน 500ก.ตราอะซึกิ(237005),BAG,,,84.00,,,,I,7,,,,,,
'15040005,NOODLE BLOCK FF (1x21)/(199236),บะหมี่ชนิดก้อน ตราเอฟเอฟ 1*21ก้อน(199236),PACK,,,84.00,,,,I,7,,,,,,
'20000014,ORANGE FANTA CAN 325ML.(1x6)/(163773),น้ำส้มแฟนต้า(กระป๋อง)325มล.(1x6)/(163773),Tray,,,85.00,,,,I,7,,,,,,
'15130075,ผงปรุงรส รสเห็ดหอม 800ก.ตราฟ้าไทย(214796),ผงปรุงรส รสเห็ดหอม 800ก.ตราฟ้าไทย(214796),BAG,,,90.25,,,,I,7,,,,,,
'12010160,YOUNG KALE(80561),ยอดคะน้า (80561),KG,,,62.00,,,,N,0,,,,,,
17020002,FROZEN BROILER CHICKEN 600-800G./WHOLE(899743),ไก่กระทงแช่แข็ง 600-800ก./ตัว(899743),PCS,,,88.25,,,,N,0,,,,,,
'15120037,VINEGAR WHITE DISTILLED 5L.(117817),น้ำส้มสายชูภูเขาทอง 5 ลิตร(117817),GAL,,,88.25,,,,I,7,,,,,,
'15080001,BAKING SODA MCGARRETT 1KG.(830864),เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,89.25,,,,I,7,,,,,,
'15130010,CORIANDER SEED 1KG.(165856),เม็ดผักชี 1 กก.(165856),KG,,,89.25,,,,N,0,,,,,,
'15010197,GINKGO IN SYRUP JINGJAI 500G.(225112),แปะก๊วยในน้ำเชื่อม ยี่ห้อจริงใจ 500ก.(225112),BAG,,,89.25,,,,I,7,,,,,,
'15010104,CORN CHIP ORIGINAL EL CHARRO GLUTEN FREE(200G./PACK)/183998,แผ่นข้าวโพดอบกรอบ(รสดั้งเดิม) 200ก.ยี่้ห้อเอล ชาร์โร(183998),PACK,,,104.00,,,,I,0,,,,,,
'10050056,ไส้กรอกแดง ยี่ห้อแหลมทอง 1 กก.(894581),ไส้กรอกแดง ยี่ห้อแหลมทอง 1 กก.(894581),BAG,,,89.25,,,,I,7,,,,,,
